Type:,Filename:,Part:,Our Vals:,Notes:
FP,ONSEMICONDUCTOR_MMBT6521LT1,MPS6521,25,Digikey parts: {'SMMBT6521LT1G': ['25']}
FP,ONSEMICONDUCTOR_MMBTA06WT1G,MMBTA06W,80,Digikey parts: {'MMBTA06WT1G': ['80']}
FP,ONSEMICONDUCTOR_MMBTA06WT1G,MMBTA06WT1,80,Digikey parts: {'MMBTA06WT1G': ['80']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA92,200,Digikey parts: {'MMBTA92LT1G': ['300']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA92,300,Digikey parts: {'MMBTA92LT1G': ['300']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA92L,200,Digikey parts: {'MMBTA92LT1G': ['300']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA92L,300,Digikey parts: {'MMBTA92LT1G': ['300']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA92LT1,200,Digikey parts: {'MMBTA92LT1G': ['300']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA92LT1,300,Digikey parts: {'MMBTA92LT1G': ['300']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA92LT1G,200,Digikey vals: ['300']
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA92LT3G,200,Digikey parts: {'MMBTA92LT1G': ['300']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA93,200,Digikey parts: {'MMBTA92LT1G': ['300']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA93,300,Digikey parts: {'MMBTA92LT1G': ['300']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA93L,200,Digikey parts: {'MMBTA92LT1G': ['300']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA93L,300,Digikey parts: {'MMBTA92LT1G': ['300']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA93LT1,200,Digikey parts: {'MMBTA92LT1G': ['300']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA93LT1,300,Digikey parts: {'MMBTA92LT1G': ['300']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA93LT1G,300,Digikey parts: {'MMBTA92LT1G': ['300']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,SMMBTA92LT1G,200,Digikey parts: {'MMBTA92LT1G': ['300']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,SMMBTA92LT3G,200,Digikey parts: {'MMBTA92LT1G': ['300']}
FP,ONSEMICONDUCTOR_NSS20600CF8T1G,NSS20600CF8,20,Digikey parts: {'NSS20600CF8T1G': ['20']}
FP,SANKEN_2SC4886,2SA1860,150,Digikey parts: {'2SC4886': ['150']}
FP,SANKEN_2SC5100,2SA1908,120,Digikey parts: {'2SC5100': ['120']}
FP,SANKEN_2SC5100,2SC510,120,Digikey parts: {'2SC5100': ['120']}
FP,SANKEN_2SD2082,2SB1382,120,Digikey parts: {'2SD2082': ['120']}
FP,SANKEN_2SD2083,2SB1383,120,Digikey parts: {'2SD2083': ['120']}
FP,SANKEN_2SD2643,2SB1687,110,Digikey parts: {'2SD2643': ['110']}
FP,SANKEN_STD01N,STD01,150,Digikey parts: {'STD01P': ['150']}
FP,SANKEN_STD01N,STD01,30,Digikey parts: {'STD01P': ['150']}
FP,SANKEN_STD01N,STD01N,30,Digikey parts: {'STD01P': ['150']}
FP,SANKEN_STD01N,STD01P,30,Digikey vals: ['150']
FP,SANKEN_STD01N,STD01PARE,150,Digikey parts: {'STD01P': ['150']}
FP,SANKEN_STD01N,STD01PARE,30,Digikey parts: {'STD01P': ['150']}
FP,STMICROELECTRONICS_2STF2550,2STN2550,50,Digikey parts: {'2STF2550': ['50']}
FP,STMICROELECTRONICS_BC14116,BC161-16,60,Digikey parts: {'BC141-16': ['60']}
