Type:,Filename:,Our Vals:,Notes:,Discrepancy Type:,Discrepancy Notes:,Annotator:
FN,ANALOGDEVICESLINEARTECHNOLOGY_LT1635CS8PBF,150 uA,Entity vals: [Quantity('130 uA')],Missing value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LT1635CS8PBF,160 uA,Entity vals: [Quantity('130 uA')],Missing value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LT1635CS8PBF,135 uA,Entity vals: [Quantity('130 uA')],Missing value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LT1464CS8TRPBF,135 uA,Entity vals: [Quantity('145 uA')],Missing value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LT1464CS8TRPBF,165 uA,Entity vals: [Quantity('145 uA')],Missing value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LT1464CS8TRPBF,160 uA,Entity vals: [Quantity('145 uA')],Missing value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LT1464CS8TRPBF,150 uA,Entity vals: [Quantity('145 uA')],Missing value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LT1352IS8PBF,230 uA,Entity vals: [Quantity('250 uA')],Missing value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LT1351CN8PBF,10 uA,Entity vals: [Quantity('250 uA')],Missing value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LT1351CN8PBF,30 uA,Entity vals: [Quantity('250 uA')],Missing value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LT1351CN8PBF,20 uA,Entity vals: [Quantity('250 uA')],Missing value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LT1351CN8PBF,220 uA,Entity vals: [Quantity('250 uA')],Missing value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LT1122CCN8PBF,7 mA,Entity vals: [Quantity('7.5 mA')],Missing value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LT1122CCN8PBF,7.8 mA,Entity vals: [Quantity('7.5 mA')],Missing value.,,Bot
